id,seller_id,contact_id,contact_warehouse_id,visit_type,latitude_checkin,longitude_checkin,latitude_checkout,longitude_checkout,test,distance,checkin_date,checkout_date,observation,photo,checkout_ok,created_at,updated_at,sales_management,collection,training
1,21,1696,1669,847,4.1454052,-73.586679,4.145405,-73.5866783,0,8196420,2020-07-06 10:48:30,2020-07-06 10:51:46,,,SI,2020-07-06 10:48:30,2020-07-06 10:51:46,t,f,f
2,38,2120,2095,847,4.0979042,-73.6502567,4.0979042,-73.6502567,0,8203369,2020-07-06 11:19:17,2020-07-06 11:22:50,,,SI,2020-07-06 11:19:17,2020-07-06 11:22:50,t,f,f
5,9,2672,2651,847,4.6655711,-74.0665456,4.6655806,-74.0665322,0,8250924,2020-07-06 14:18:46,2020-07-06 14:20:17,,,SI,2020-07-06 14:18:46,2020-07-06 14:20:17,f,t,f
3,38,7668,7881,847,4.0978988,-73.6502515,4.1443607,-73.6404759,0,8203368,2020-07-06 12:28:54,2020-07-06 14:35:44,,,SI,2020-07-06 12:28:54,2020-07-06 14:35:44,t,f,f
7,9,2361,2337,847,4.6054384,-74.2010218,4.6053918,-74.2009414,0,8265692,2020-07-06 19:20:26,2020-07-06 20:57:31,,,SI,2020-07-06 19:20:26,2020-07-06 20:57:31,f,t,f
8,9,574,545,847,4.6054115,-74.2009053,4.6053721,-74.2008841,0,8265679,2020-07-06 20:57:59,2020-07-06 20:59:12,,,SI,2020-07-06 20:57:59,2020-07-06 20:59:12,t,f,f
9,9,574,545,847,4.6053988,-74.2009089,4.6054041,-74.2009657,0,8265679,2020-07-06 21:04:16,2020-07-06 21:11:24,,,SI,2020-07-06 21:04:16,2020-07-06 21:11:24,t,f,f
10,123,1967,1942,847,4.4349255,-75.2318878,4.434915,-75.2319858,0,8379670,2020-07-07 08:59:01,2020-07-07 09:11:31,,,SI,2020-07-07 08:59:01,2020-07-07 09:11:31,t,f,f
11,123,2520,2498,847,4.4236743,-75.1872778,4.4256054,-75.1868219,0,8374695,2020-07-07 09:30:40,2020-07-07 09:55:24,,,SI,2020-07-07 09:30:40,2020-07-07 09:55:24,t,f,f
6,38,1902,1877,847,4.0978635,-73.6502464,4.0979154,-73.6502821,0,8203367,2020-07-06 16:58:24,2020-07-07 10:44:40,,,SI,2020-07-06 16:58:24,2020-07-07 10:44:40,t,f,f
12,38,1118,1090,847,4.097931,-73.650295,4.097931,-73.650295,0,8203373,2020-07-07 10:45:11,2020-07-07 10:46:47,,,SI,2020-07-07 10:45:11,2020-07-07 10:46:47,t,f,f
